subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
franc,1,1,92,VT,1,fast,wide,D3,501458.155,501458.155,502154.273,502279.559,502404.662,502655.700,502279.559,502585.964,306.4,None,0,2026-07-10T15:15:03.9726173+02:00
franc,1,1,93,VT,1,slow,narrow,D4,505968.314,505968.314,507667.169,508015.242,508391.272,509156.868,507667.169,507959.777,292.6,None,0,2026-07-10T15:15:08.6919049+02:00
franc,1,1,94,T,1,slow,wide,D1,510688.601,,,,,,513695.586,514029.873,334.3,None,0,2026-07-10T15:15:13.5382632+02:00
franc,1,1,95,VT,1,slow,wide,D3,515533.458,515533.458,517231.729,517580.315,517955.677,518721.749,517580.315,522090.747,4510.4,None,0,2026-07-10T15:15:21.5992490+02:00
franc,1,1,96,VT,1,fast,wide,D4,523594.276,523594.276,524290.404,524415.253,524540.955,524791.430,524290.404,524610.508,320.1,None,0,2026-07-10T15:15:26.1096931+02:00
franc,1,1,97,VT,1,fast,wide,D1,528105.146,528105.146,528801.684,528926.239,529051.481,529302.098,529302.098,529636.548,334.5,None,0,2026-07-10T15:15:30.6193126+02:00
franc,1,1,98,VT,1,slow,narrow,D6,532615.740,532615.740,534314.073,534662.579,535038.739,535804.294,533590.420,533979.979,389.6,None,0,2026-07-10T15:15:35.3397775+02:00
franc,1,1,99,VT,1,slow,narrow,D3,537335.300,537335.300,539033.619,539382.020,539757.872,540523.526,539382.020,539688.090,306.1,None,0,2026-07-10T15:15:40.0592271+02:00
franc,1,1,100,VT,1,slow,wide,D1,542054.805,542054.805,543753.378,544101.536,544477.654,545243.609,545243.609,545503.037,259.4,None,0,2026-07-10T15:15:45.0116646+02:00
franc,1,1,101,VT,1,fast,narrow,D5,546997.821,546997.821,547694.273,547819.842,547944.904,548195.779,547582.909,547875.567,292.7,None,0,2026-07-10T15:15:49.5127771+02:00
franc,1,1,102,V,0,fast,narrow,,551509.407,551509.407,552206.231,552330.648,552455.876,552706.574,,,,None,0,2026-07-10T15:15:54.0240652+02:00
franc,1,1,103,T,1,fast,narrow,D5,556020.077,,,,,,556409.912,556743.620,333.7,None,0,2026-07-10T15:15:58.5335327+02:00
franc,1,1,104,T,1,fast,narrow,D3,560530.020,,,,,,561156.594,561310.016,153.4,None,0,2026-07-10T15:16:03.0445198+02:00
franc,1,1,105,T,1,fast,wide,D5,565039.897,,,,,,565429.732,565666.957,237.2,None,0,2026-07-10T15:16:07.5549059+02:00
franc,1,1,106,VT,1,slow,wide,D5,569551.829,569551.829,571250.494,571597.535,571973.865,572753.355,570916.309,571529.240,612.9,None,0,2026-07-10T15:16:12.2743455+02:00
