subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
theo,1,1,72,clear_hit,HIT,fast,fast,fast-fast,repetition,5.75,0,0,0.0000,HIT,974.24,1,0,2026-07-09T16:29:01.9165342+02:00
theo,1,1,73,clear_miss,MISS,fast,fast,fast-fast,repetition,-79.61,0,0,0.0000,MISS,640.87,1,0,2026-07-09T16:29:07.8762041+02:00
theo,1,1,74,near_hit,MISS,fast,fast,fast-fast,repetition,-42.74,0,0,0.0000,MISS,571.18,1,0,2026-07-09T16:29:13.1522149+02:00
theo,1,1,75,near_miss,MISS,fast,slow,fast-slow,transition,56.56,0,0,0.0000,MISS,2019.28,1,0,2026-07-09T16:29:20.5436304+02:00
theo,1,1,76,near_hit,MISS,slow,slow,slow-slow,repetition,43.62,0,0,0.0000,MISS,1615.20,1,0,2026-07-09T16:29:33.4374563+02:00
theo,1,1,77,near_miss,MISS,slow,slow,slow-slow,repetition,-52.56,0,0,0.0000,MISS,1015.55,1,0,2026-07-09T16:29:46.0365667+02:00
theo,1,1,78,clear_hit,HIT,slow,slow,slow-slow,repetition,-5.40,0,0,0.0000,MISS,1323.13,0,0,2026-07-09T16:29:59.9026470+02:00
theo,1,1,79,near_hit,MISS,slow,fast,slow-fast,transition,44.07,0,0,0.0000,MISS,2240.53,1,0,2026-07-09T16:30:14.5072746+02:00
theo,1,1,80,near_miss,MISS,fast,fast,fast-fast,repetition,-51.95,0,0,0.0000,MISS,696.26,1,0,2026-07-09T16:30:18.4761397+02:00
theo,1,1,81,near_hit,MISS,fast,fast,fast-fast,repetition,41.66,0,0,0.0000,MISS,877.36,1,0,2026-07-09T16:30:24.3367973+02:00
theo,1,1,82,near_hit,MISS,fast,slow,fast-slow,transition,34.93,0,0,0.0000,MISS,835.88,1,0,2026-07-09T16:30:30.2131724+02:00
theo,1,1,83,near_miss,MISS,slow,slow,slow-slow,repetition,-51.33,0,0,0.0000,MISS,1419.69,1,0,2026-07-09T16:30:44.2170831+02:00
theo,1,1,84,clear_miss,MISS,slow,slow,slow-slow,repetition,72.13,0,0,0.0000,MISS,1016.49,1,0,2026-07-09T16:30:57.2615222+02:00
theo,1,1,85,near_miss,MISS,slow,slow,slow-slow,repetition,-52.93,0,0,0.0000,MISS,1448.53,1,0,2026-07-09T16:31:11.2816763+02:00
theo,1,1,86,clear_hit,HIT,slow,slow,slow-slow,repetition,-0.69,0,0,0.0000,MISS,903.83,0,0,2026-07-09T16:31:24.0892708+02:00
theo,1,1,87,near_miss,MISS,slow,fast,slow-fast,transition,-47.20,0,0,0.0000,MISS,835.26,1,0,2026-07-09T16:31:37.0653193+02:00
theo,1,1,88,near_miss,MISS,fast,fast,fast-fast,repetition,59.65,0,0,0.0000,MISS,779.54,1,0,2026-07-09T16:31:42.3547129+02:00
theo,1,1,89,clear_hit,HIT,fast,fast,fast-fast,repetition,-4.46,0,0,0.0000,HIT,735.88,1,0,2026-07-09T16:31:48.5785052+02:00
theo,1,1,90,near_hit,MISS,fast,fast,fast-fast,repetition,42.17,0,0,0.0000,MISS,974.70,1,0,2026-07-09T16:31:54.5506222+02:00
theo,1,1,91,clear_hit,HIT,fast,fast,fast-fast,repetition,7.05,0,0,0.0000,HIT,863.20,1,0,2026-07-09T16:32:00.7184977+02:00
theo,1,1,92,near_miss,MISS,fast,slow,fast-slow,transition,54.82,0,0,0.0000,MISS,1809.72,1,0,2026-07-09T16:32:07.8878981+02:00
theo,1,1,93,clear_hit,HIT,slow,slow,slow-slow,repetition,-1.33,0,0,0.0000,HIT,2004.77,1,0,2026-07-09T16:32:21.1013006+02:00
theo,1,1,94,near_hit,MISS,slow,slow,slow-slow,repetition,-40.12,0,0,0.0000,MISS,1169.76,1,0,2026-07-09T16:32:33.4362909+02:00
theo,1,1,95,clear_miss,MISS,slow,slow,slow-slow,repetition,-83.34,0,0,0.0000,MISS,1364.69,1,0,2026-07-09T16:32:47.0647316+02:00
theo,1,1,96,near_hit,MISS,slow,slow,slow-slow,repetition,35.76,0,0,0.0000,HIT,1824.17,0,0,2026-07-09T16:33:00.8617398+02:00
theo,1,1,97,clear_miss,MISS,slow,slow,slow-slow,repetition,76.10,0,0,0.0000,MISS,2812.97,1,0,2026-07-09T16:33:15.1459303+02:00
theo,1,1,98,near_miss,MISS,slow,slow,slow-slow,repetition,-47.31,0,0,0.0000,MISS,1767.92,1,0,2026-07-09T16:33:27.2726847+02:00
theo,1,1,99,near_miss,MISS,slow,fast,slow-fast,transition,-55.93,0,0,0.0000,MISS,794.15,1,0,2026-07-09T16:33:40.0123384+02:00
theo,1,1,100,near_hit,MISS,fast,fast,fast-fast,repetition,-35.77,0,0,0.0000,MISS,654.71,1,0,2026-07-09T16:33:45.3027306+02:00
theo,1,1,101,clear_hit,HIT,fast,fast,fast-fast,repetition,10.66,0,0,0.0000,MISS,989.22,0,0,2026-07-09T16:33:50.9966583+02:00
theo,1,1,102,clear_miss,MISS,fast,fast,fast-fast,repetition,63.50,0,0,0.0000,MISS,1112.66,1,0,2026-07-09T16:33:56.6328019+02:00
theo,1,1,103,near_miss,MISS,fast,slow,fast-slow,transition,47.13,0,0,0.0000,MISS,1113.07,1,0,2026-07-09T16:34:02.5498503+02:00
theo,1,1,104,near_hit,MISS,slow,slow,slow-slow,repetition,-34.76,0,0,0.0000,HIT,2297.84,0,0,2026-07-09T16:34:17.0996129+02:00
theo,1,1,105,clear_miss,MISS,slow,slow,slow-slow,repetition,79.67,0,0,0.0000,MISS,1029.48,1,0,2026-07-09T16:34:29.1552612+02:00
theo,1,1,106,near_hit,MISS,slow,fast,slow-fast,transition,32.67,0,0,0.0000,MISS,834.80,1,0,2026-07-09T16:34:42.0338469+02:00
theo,1,1,107,clear_hit,HIT,fast,fast,fast-fast,repetition,-9.89,0,0,0.0000,MISS,1308.84,0,0,2026-07-09T16:34:48.3835675+02:00
theo,1,1,108,clear_miss,MISS,fast,fast,fast-fast,repetition,-73.47,0,0,0.0000,MISS,668.68,1,0,2026-07-09T16:34:53.9373792+02:00
theo,1,1,109,near_hit,MISS,fast,slow,fast-slow,transition,39.88,0,0,0.0000,MISS,2171.62,1,0,2026-07-09T16:35:01.1899997+02:00
theo,1,1,110,clear_miss,MISS,slow,slow,slow-slow,repetition,-87.49,0,0,0.0000,MISS,1141.98,1,0,2026-07-09T16:35:13.9570990+02:00
theo,1,1,111,near_miss,MISS,slow,slow,slow-slow,repetition,-49.44,0,0,0.0000,MISS,1840.33,1,0,2026-07-09T16:35:28.4905426+02:00
theo,1,1,112,near_hit,MISS,slow,fast,slow-fast,transition,-32.57,0,0,0.0000,MISS,932.58,1,0,2026-07-09T16:35:41.0641191+02:00
theo,1,1,113,near_hit,MISS,fast,fast,fast-fast,repetition,34.50,0,0,0.0000,MISS,653.27,1,0,2026-07-09T16:35:46.4240465+02:00
theo,1,1,114,clear_hit,HIT,fast,fast,fast-fast,repetition,-2.62,0,0,0.0000,HIT,737.60,1,0,2026-07-09T16:35:52.4105638+02:00
theo,1,1,115,near_miss,MISS,fast,slow,fast-slow,transition,54.03,0,0,0.0000,MISS,1503.45,1,0,2026-07-09T16:35:58.9667534+02:00
theo,1,1,116,clear_hit,HIT,slow,slow,slow-slow,repetition,-10.06,0,0,0.0000,HIT,1990.81,1,0,2026-07-09T16:36:13.2923224+02:00
theo,1,1,117,near_miss,MISS,slow,slow,slow-slow,repetition,48.08,0,0,0.0000,MISS,1447.96,1,0,2026-07-09T16:36:26.4781356+02:00
theo,1,1,118,near_miss,MISS,slow,fast,slow-fast,transition,55.33,0,0,0.0000,MISS,1142.04,1,0,2026-07-09T16:36:39.8848488+02:00
theo,1,1,119,clear_hit,HIT,fast,fast,fast-fast,repetition,-3.14,0,0,0.0000,HIT,933.49,1,0,2026-07-09T16:36:45.7461840+02:00
theo,1,1,120,near_miss,MISS,fast,fast,fast-fast,repetition,47.92,0,0,0.0000,MISS,668.40,1,0,2026-07-09T16:36:50.8692367+02:00
theo,1,1,121,clear_hit,HIT,fast,fast,fast-fast,repetition,8.76,0,0,0.0000,MISS,681.98,0,0,2026-07-09T16:36:57.1471321+02:00
theo,1,1,122,clear_miss,MISS,fast,fast,fast-fast,repetition,-84.52,0,0,0.0000,MISS,752.77,1,0,2026-07-09T16:37:02.9122504+02:00
theo,1,1,123,near_miss,MISS,fast,fast,fast-fast,repetition,-54.30,0,0,0.0000,MISS,752.49,1,0,2026-07-09T16:37:08.2712228+02:00
theo,1,1,124,clear_hit,HIT,fast,fast,fast-fast,repetition,0.00,0,0,0.0000,HIT,1545.76,1,0,2026-07-09T16:37:14.8564367+02:00
theo,1,1,125,near_miss,MISS,fast,slow,fast-slow,transition,-50.23,0,0,0.0000,MISS,1071.53,1,0,2026-07-09T16:37:20.0275101+02:00
theo,1,1,126,near_miss,MISS,slow,slow,slow-slow,repetition,-56.41,0,0,0.0000,MISS,960.06,1,0,2026-07-09T16:37:32.8019484+02:00
theo,1,1,127,clear_hit,HIT,slow,slow,slow-slow,repetition,0.74,0,0,0.0000,HIT,612.74,1,0,2026-07-09T16:37:45.9054450+02:00
theo,1,1,128,near_miss,MISS,slow,slow,slow-slow,repetition,53.14,0,0,0.0000,MISS,1183.27,1,0,2026-07-09T16:37:59.8665905+02:00
theo,1,1,129,clear_hit,HIT,slow,slow,slow-slow,repetition,1.81,0,0,0.0000,HIT,765.41,1,0,2026-07-09T16:38:13.0650735+02:00
theo,1,1,130,clear_miss,MISS,slow,slow,slow-slow,repetition,88.22,0,0,0.0000,MISS,1308.83,1,0,2026-07-09T16:38:26.9302776+02:00
theo,1,1,131,near_hit,MISS,slow,fast,slow-fast,transition,39.48,0,0,0.0000,MISS,807.52,1,0,2026-07-09T16:38:39.6561159+02:00
theo,1,1,132,clear_miss,MISS,fast,fast,fast-fast,repetition,81.40,0,0,0.0000,MISS,682.51,1,0,2026-07-09T16:38:45.2099465+02:00
