subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
theo,1,1,72,VT,1,fast,narrow,D5,309674.546,309674.546,309674.546,309924.504,310049.973,310161.461,310286.777,310412.000,310662.703,310049.973,310342.501,292.5,None,0,2026-07-09T15:22:42.3400029+02:00
theo,1,1,73,VT,1,slow,narrow,D3,313390.464,313390.464,313390.464,314031.113,314351.367,314629.815,314921.882,315242.512,315882.547,314921.882,315270.102,348.2,None,0,2026-07-09T15:22:46.0560378+02:00
theo,1,1,74,VT,1,slow,narrow,D5,317108.201,317108.201,317108.201,317748.263,318068.357,318346.602,318639.085,318959.035,319599.093,318068.357,318430.160,361.8,None,0,2026-07-09T15:22:49.7731324+02:00
theo,1,1,75,VT,1,slow,narrow,D7,320824.076,320824.076,320824.076,321464.549,321784.599,322063.561,322355.097,322675.669,323316.335,320824.076,321381.125,557.0,None,0,2026-07-09T15:22:53.4896863+02:00
theo,1,1,76,VT,1,fast,narrow,D4,324541.073,324541.073,324541.073,324792.001,324916.474,325028.539,325153.694,325279.093,325529.755,325028.539,325348.427,319.9,None,0,2026-07-09T15:22:57.2070073+02:00
theo,1,1,77,VT,1,fast,narrow,D1,328258.259,328258.259,328258.259,328508.743,328634.178,328745.544,328870.624,328996.146,329246.998,329246.998,329581.126,334.1,None,0,2026-07-09T15:23:00.9239461+02:00
theo,1,1,78,V,0,fast,narrow,,331975.449,331975.449,331975.449,332225.767,332351.308,332462.831,332588.203,332713.539,332963.901,,,,None,0,2026-07-09T15:23:04.6412805+02:00
theo,1,1,79,T,1,fast,narrow,D2,335692.725,,,,,,,,,336444.378,336750.871,306.5,None,0,2026-07-09T15:23:08.3581032+02:00
theo,1,1,80,VT,1,fast,narrow,D4,339409.978,339409.978,339409.978,339660.346,339785.493,339897.415,340022.528,340147.770,340398.317,339897.415,340259.328,361.9,None,0,2026-07-09T15:23:12.0746197+02:00
theo,1,1,81,VT,1,fast,narrow,D6,343126.798,343126.798,343126.798,343377.425,343502.967,343614.186,343739.450,343864.923,344115.426,343377.425,343697.702,320.3,None,0,2026-07-09T15:23:15.7925283+02:00
